id,description
1,Desligar o monitor ao sair para o almoço
2,Imprimir documentos apenas quando realmente necessário
3,Levar sua própria caneca reutilizável para o café
4,Apagar as luzes ao sair da sala de reunião
5,Reutilizar folhas de papel para rascunho
6,Fechar a torneira corretamente após o uso
7,Desligar equipamentos ao fim do expediente
8,Utilizar videoconferência para evitar deslocamentos
9,Separar corretamente o lixo reciclável no escritório
10,Reduzir o brilho da tela para economizar energia
11,Trazer alimentos em recipientes reutilizáveis
12,Evitar o uso de copos descartáveis
13,Utilizar escadas ao invés do elevador para pequenos deslocamentos
14,Desconectar carregadores que não estão em uso
15,Apagar e-mails antigos e desnecessários (limpeza digital)
16,Incentivar colegas a adotarem práticas sustentáveis
17,Reutilizar materiais de escritório sempre que possível
18,Realizar reuniões com luz natural sempre que possível
19,Manter janelas abertas para ventilação natural
20,Participar ou promover campanhas internas de sustentabilidade
21,Levar lancheira reutilizável para o trabalho
22,Evitar deixar a torneira aberta enquanto lava as mãos
23,"Usar transporte coletivo, bicicleta ou carona"
24,Evitar impressões coloridas sem necessidade
25,Desativar notificações desnecessárias para reduzir o uso de energia
26,Usar papel reciclado quando possível
27,Fechar abas do navegador que não está utilizando
28,Programar o computador para hibernar automaticamente
29,Utilizar bloco de notas digital em vez de papel
30,Promover coleta de pilhas e baterias usadas
31,Reduzir o tempo do banho no vestiário da empresa
32,Levar talheres reutilizáveis para as refeições
33,Organizar caronas com colegas do setor
34,Apagar quadros brancos com pano reutilizável
35,Desligar a cafeteira após o uso
36,Economizar papel usando frente e verso
37,Evitar o uso de ar-condicionado quando a temperatura estiver amena
38,Revisar documentos digitalmente antes de imprimir
39,Desligar projetores após as reuniões
40,Usar apps de anotações para evitar post-its
